measure,region_name,sex,age,cause,metric,year,val,upper,lower
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,1994,2953.830737,4601.029513,1662.43295
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,1995,810.0778722,1407.033956,408.0096383
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,1995,3691.615853,5613.238078,2220.206414
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,1996,960.3628367,1661.454577,500.5516407
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,1996,4235.989533,6292.703278,2703.081578
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,1997,1058.234131,1785.810695,559.7115906
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,1997,4504.387724,6433.998591,3019.618145
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,1998,1101.939114,1867.140561,587.6344603
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,1998,4524.415955,6595.521611,2994.774003
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,1999,1106.457309,1853.497179,601.5237332
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,1999,4370.49755,6305.872128,2891.611987
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,2000,1088.551038,1836.220723,591.7543216
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,2000,4135.220173,6003.215827,2770.126972
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,2001,1057.973515,1778.024605,578.037388
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,2001,3886.108819,5593.103506,2589.125771
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,2002,1022.91105,1709.825518,560.6252281
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,2002,3655.829553,5278.637188,2452.593644
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,2003,996.0905579,1651.972489,550.0935762
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,2003,3483.467349,5033.146437,2340.009066
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,2004,981.5499409,1611.879124,544.0351839
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,2004,3374.875145,4867.26608,2276.331834
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,2005,975.0028457,1603.740904,536.5996488
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,2005,3311.518943,4700.956332,2243.829124
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,2006,970.2045949,1587.236441,528.7985662
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,2006,3268.988095,4602.621461,2214.041579
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,2007,964.1027512,1593.837946,527.2188888
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,2007,3225.634832,4554.030216,2200.019282
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,2008,959.3363527,1593.853636,534.2671858
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,2008,3182.470131,4502.056907,2173.260764
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,2009,953.6179038,1589.976814,541.424692
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,2009,3141.246121,4411.85492,2125.973708
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,2010,934.6613702,1548.663418,526.9896485
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,2010,3074.775364,4322.894734,2088.933345
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,2011,899.513904,1497.450764,505.0807111
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,2011,2974.878585,4210.530615,1979.533666
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,2012,858.0459831,1433.117651,474.7715286
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,2012,2862.968483,4103.879585,1878.357452
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,2013,813.9876049,1389.302257,443.0849168
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,2013,2742.599035,4006.150288,1783.265129
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,2014,766.1135659,1330.566647,414.9631869
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,2014,2608.636586,3840.10104,1696.263128
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,2015,719.0876449,1275.012839,385.8915278
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,2015,2471.94492,3715.656406,1591.342957
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,2016,671.1393692,1212.271679,347.3052815
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,2016,2315.245848,3580.9339,1467.254982
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,2017,607.0697709,1126.838815,302.60035
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,2017,2086.887374,3381.080559,1267.721568
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,1990,429.2897844,768.4618538,228.5198195
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,1990,715.6624329,1240.12468,375.7524469
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,1991,720.9577925,1186.452794,389.2452465
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,1991,1220.578371,2018.526357,689.6205533
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,1992,1144.427713,1843.171147,643.4034016
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,1992,1959.075615,3008.168264,1163.069836
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,1993,1693.364517,2641.268,984.7115971
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,1993,2913.113301,4274.845528,1814.519399
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,1994,2311.378068,3468.773305,1398.73034
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,1994,3965.945685,5625.517628,2595.582262
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,1995,2906.371932,4201.657524,1851.226088
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,1995,4931.980614,6643.987861,3384.168467
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,1996,3382.243357,4764.46329,2251.683888
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,1996,5624.102177,7290.976416,4038.831846
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,1997,3666.175932,5067.334191,2554.830114
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,1997,5943.236501,7487.565393,4447.171638
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,1998,3750.908235,5197.571404,2665.447064
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,1998,5916.690172,7486.381089,4505.719271
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,1999,3694.42785,5166.935663,2612.593375
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,1999,5673.013989,7280.058101,4249.393235
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,2000,3566.811185,4958.360389,2495.189057
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,2000,5330.517745,6909.980928,3990.812608
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,2001,3412.650615,4724.392392,2380.85742
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,2001,4949.210279,6473.874126,3710.431752
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,2002,3260.503538,4474.44153,2322.179763
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,2002,4586.70804,5983.222253,3475.707462
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,2003,3140.989401,4308.16268,2246.906177
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,2003,4301.024409,5560.201395,3282.603162
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,2004,3072.971975,4173.460135,2187.293943
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,2004,4112.526898,5281.90234,3189.887303
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,2005,3056.114726,4141.452344,2177.601004
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,2005,4015.571099,5131.659978,3160.112926
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,2006,3069.427511,4152.458858,2224.061896
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,2006,3988.607183,5036.447625,3157.598398
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,2007,3090.143195,4165.612696,2219.26022
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,2007,4007.353923,5021.058148,3169.853208
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,2008,3120.881854,4255.554954,2243.49447
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,2008,4066.725004,5145.362196,3221.844782
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,2009,3153.93073,4285.814691,2259.393004
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,2009,4145.604218,5209.371986,3280.724927
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,2010,3163.58069,4271.408562,2282.400912
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,2010,4207.239586,5316.319057,3277.923937
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,2011,3127.841682,4205.139818,2232.091668
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,2011,4220.846181,5343.527219,3202.760566
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,2012,3058.638301,4134.249206,2179.364431
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,2012,4190.88452,5357.433445,3098.917557
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,2013,2979.842013,4085.569709,2089.96889
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,2013,4137.448955,5357.21166,2980.698682
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,2014,2910.424331,4064.556481,2014.039912
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,2014,4090.988181,5335.155246,2908.677802
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,2015,2846.840932,4063.607107,1931.318721
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,2015,4062.605457,5371.034542,2844.153167
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,2016,2757.947486,4022.974407,1808.353528
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,2016,4016.230816,5390.754735,2766.788917
Incidence,Free State,Male,25-29 years,HIV/AIDS,Number,2017,2572.853467,3794.323854,1619.02542
Incidence,Free State,Female,25-29 years,HIV/AIDS,Number,2017,3831.68538,5230.673829,2558.528546
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,1990,561.0011614,987.3967915,282.2651387
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,1990,409.9001917,714.658619,210.2634842
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,1991,942.1600198,1592.940084,502.5262822
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,1991,703.9330258,1174.77725,379.3697085
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,1992,1488.69404,2438.110643,825.297979
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,1992,1137.449952,1834.155178,630.577184
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,1993,2185.727937,3407.884209,1269.73757
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,1993,1704.43608,2612.650895,977.2849105
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,1994,2950.442955,4467.982621,1791.315746
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,1994,2342.641106,3441.800243,1389.474446
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,1995,3648.167928,5468.187532,2315.72269
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,1995,2941.421734,4170.066699,1893.411509
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,1996,4150.453504,6082.433053,2780.103068
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,1996,3382.142246,4588.586626,2302.726831
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,1997,4387.773382,6209.878075,3063.031776
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,1997,3598.15113,4735.868844,2584.373949
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,1998,4375.055743,6104.759801,3092.474831
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,1998,3593.95817,4758.109634,2548.736381
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,1999,4198.922672,5897.133001,2883.659682
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,1999,3437.658755,4641.175761,2416.53834
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,2000,3957.066725,5533.111298,2717.470472
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,2000,3210.737071,4407.666328,2299.621702
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,2001,3704.85988,5230.39227,2565.540541
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,2001,2962.012956,4050.970394,2110.343839
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,2002,3469.020813,4847.106037,2410.666172
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,2002,2727.184076,3756.426876,1945.695825
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,2003,3279.462045,4509.101554,2293.407929
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,2003,2531.402493,3434.778004,1816.469318
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,2004,3149.536381,4310.179681,2228.502838
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,2004,2380.696217,3218.796065,1706.957947
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,2005,3073.796658,4243.48123,2193.963182
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,2005,2269.015729,3059.000312,1632.58666
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,2006,3035.147711,4156.568369,2154.306121
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,2006,2186.758035,2938.82618,1583.232361
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,2007,3017.2067,4154.797658,2158.302003
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,2007,2122.819354,2888.733125,1540.828131
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,2008,3017.469337,4145.89938,2163.381108
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,2008,2076.798858,2826.967275,1502.131135
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,2009,3034.878364,4149.956459,2163.820783
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,2009,2049.785096,2755.709066,1474.374064
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,2010,3054.184397,4123.489349,2154.848781
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,2010,2036.023084,2755.726238,1462.699499
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,2011,3054.257666,4175.111401,2144.959322
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,2011,2026.164777,2754.689033,1441.311735
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,2012,3041.372727,4241.771133,2130.005753
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,2012,2023.854013,2738.849637,1414.504466
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,2013,3029.989826,4315.963836,2083.45848
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,2013,2032.826234,2753.302106,1403.943196
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,2014,3024.961854,4319.747883,2065.158944
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,2014,2052.875303,2786.328988,1394.645899
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,2015,3030.253289,4349.863483,2004.304719
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,2015,2085.328273,2847.318209,1400.12005
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,2016,3011.664047,4354.462823,1921.343815
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,2016,2100.836374,2930.826393,1391.197123
Incidence,Free State,Male,30-34 years,HIV/AIDS,Number,2017,2878.926994,4281.268185,1770.602778
Incidence,Free State,Female,30-34 years,HIV/AIDS,Number,2017,2028.5658,2897.208434,1288.830917
Incidence,Free State,Male,35-39 years,HIV/AIDS,Number,1990,437.9221451,797.0604201,200.0595614
Incidence,Free State,Female,35-39 years,HIV/AIDS,Number,1990,311.0618368,545.0740463,160.8739344
Incidence,Free State,Male,35-39 years,HIV/AIDS,Number,1991,747.5934822,1317.681546,364.8092164
Incidence,Free State,Female,35-39 years,HIV/AIDS,Number,1991,540.3785184,926.6708464,288.7148615
Incidence,Free State,Male,35-39 years,HIV/AIDS,Number,1992,1197.558132,2013.525159,597.610475
Incidence,Free State,Female,35-39 years,HIV/AIDS,Number,1992,884.0776169,1464.749978,492.7499275
Incidence,Free State,Male,35-39 years,HIV/AIDS,Number,1993,1776.184902,2866.964945,932.2056385
Incidence,Free State,Female,35-39 years,HIV/AIDS,Number,1993,1341.766389,2143.217972,762.769868
Incidence,Free State,Male,35-39 years,HIV/AIDS,Number,1994,2411.949017,3720.223558,1346.308739
Incidence,Free State,Female,35-39 years,HIV/AIDS,Number,1994,1869.833571,2847.724041,1130.864937
Incidence,Free State,Male,35-39 years,HIV/AIDS,Number,1995,2984.35198,4536.591489,1776.304751
Incidence,Free State,Female,35-39 years,HIV/AIDS,Number,1995,2381.899427,3403.52724,1536.220345
Incidence,Free State,Male,35-39 years,HIV/AIDS,Number,1996,3382.637698,4976.209349,2104.274178
Incidence,Free State,Female,35-39 years,HIV/AIDS,Number,1996,2779.57027,3796.738518,1872.905455
Incidence,Free State,Male,35-39 years,HIV/AIDS,Number,1997,3548.896507,5127.617203,2234.43621
Incidence,Free State,Female,35-39 years,HIV/AIDS,Number,1997,3001.564007,4051.901686,2112.328104
Incidence,Free State,Male,35-39 years,HIV/AIDS,Number,1998,3502.22688,5059.886899,2230.970227
Incidence,Free State,Female,35-39 years,HIV/AIDS,Number,1998,3046.719621,4087.685281,2130.721813
Incidence,Free State,Male,35-39 years,HIV/AIDS,Number,1999,3318.526703,4818.081717,2088.092659
Incidence,Free State,Female,35-39 years,HIV/AIDS,Number,1999,2966.071343,4011.944375,2057.694571
Incidence,Free State,Male,35-39 years,HIV/AIDS,Number,2000,3074.922772,4442.636491,1910.261532
Incidence,Free State,Female,35-39 years,HIV/AIDS,Number,2000,2817.195777,3887.934484,1901.2817
Incidence,Free State,Male,35-39 years,HIV/AIDS,Number,2001,2823.783072,4068.238993,1755.948106
Incidence,Free State,Female,35-39 years,HIV/AIDS,Number,2001,2633.973834,3636.327795,1791.904954
Incidence,Free State,Male,35-39 years,HIV/AIDS,Number,2002,2600.075671,3758.652761,1638.602635
Incidence,Free State,Female,35-39 years,HIV/AIDS,Number,2002,2445.997423,3375.317737,1677.502413
Incidence,Free State,Male,35-39 years,HIV/AIDS,Number,2003,2423.083614,3494.624523,1562.342084
Incidence,Free State,Female,35-39 years,HIV/AIDS,Number,2003,2277.769652,3118.750324,1572.111297
Incidence,Free State,Male,35-39 years,HIV/AIDS,Number,2004,2291.224672,3317.035754,1497.658385
Incidence,Free State,Female,35-39 years,HIV/AIDS,Number,2004,2137.499502,2894.431023,1485.550994
Incidence,Free State,Male,35-39 years,HIV/AIDS,Number,2005,2198.871743,3159.435005,1436.260857
Incidence,Free State,Female,35-39 years,HIV/AIDS,Number,2005,2027.323774,2732.158075,1421.917444
Incidence,Free State,Male,35-39 years,HIV/AIDS,Number,2006,2137.569191,3064.546862,1396.753633
Incidence,Free State,Female,35-39 years,HIV/AIDS,Number,2006,1946.191559,2611.408139,1364.119337
Incidence,Free State,Male,35-39 years,HIV/AIDS,Number,2007,2096.137918,3025.911223,1364.635887
Incidence,Free State,Female,35-39 years,HIV/AIDS,Number,2007,1885.085927,2549.427539,1325.308062
Incidence,Free State,Male,35-39 years,HIV/AIDS,Number,2008,2070.927642,2981.045542,1352.625708
Incidence,Free State,Female,35-39 years,HIV/AIDS,Number,2008,1837.237577,2491.939922,1298.517772
Incidence,Free State,Male,35-39 years,HIV/AIDS,Number,2009,2055.266847,2966.22824,1337.057787
Incidence,Free State,Female,35-39 years,HIV/AIDS,Number,2009,1797.289119,2431.442804,1283.511921
Incidence,Free State,Male,35-39 years,HIV/AIDS,Number,2010,2037.043575,2909.187754,1335.969579
Incidence,Free State,Female,35-39 years,HIV/AIDS,Number,2010,1753.710351,2373.112374,1241.754983
Incidence,Free State,Male,35-39 years,HIV/AIDS,Number,2011,2007.566933,2862.0158,1309.603733
Incidence,Free State,Female,35-39 years,HIV/AIDS,Number,2011,1697.689812,2293.328281,1196.012478
Incidence,Free State,Male,35-39 years,HIV/AIDS,Number,2012,1977.297802,2838.002455,1273.660002
Incidence,Free State,Female,35-39 years,HIV/AIDS,Number,2012,1635.789978,2213.463416,1136.021677
Incidence,Free State,Male,35-39 years,HIV/AIDS,Number,2013,1954.598159,2820.990737,1231.102115
Incidence,Free State,Female,35-39 years,HIV/AIDS,Number,2013,1578.679869,2158.905971,1084.998846
Incidence,Free State,Male,35-39 years,HIV/AIDS,Number,2014,1946.16169,2858.241444,1219.969725
